date,code,name,action,quantity,price,amount,reason
2026-08-23,011070,LG이노텍,buy,45,550000.0,24750000.0,"예측 5일 수익률 +6.4%, 방향적중률 65%, RSI 41 — 공격적 매수 조건 충족"
2026-08-23,332570,PS일렉트로닉스,buy,2787,8970.0,24999390.0,"예측 5일 수익률 +5.0%, 방향적중률 57%, RSI 54 — 공격적 매수 조건 충족"
2026-08-23,032830,삼성생명,buy,76,328500.0,24966000.0,"예측 5일 수익률 +4.4%, 방향적중률 63%, RSI 55 — 공격적 매수 조건 충족"
2026-08-23,MU,Micron Technology Inc. Common Stock,buy,16,1337926.8656030274,21406829.84964844,"예측 5일 수익률 +3.3%, 방향적중률 55%, RSI 54 — 공격적 매수 조건 충족"
2026-08-24,032830,삼성생명,sell,76,285500.0,21698000.0,평단가 대비 -13.1% — 손절 기준(-12%) 도달로 매도
2026-08-24,257720,실리콘투,buy,32,49450.0,1582400.0,"예측 5일 수익률 +4.3%, 방향적중률 53%, RSI 70 — 공격적 매수 조건 충족"
2026-08-25,032830,삼성생명,buy,73,285000.0,20805000.0,"예측 5일 수익률 +7.2%, 방향적중률 57%, RSI 45 — 공격적 매수 조건 충족"
2026-08-26,332570,PS일렉트로닉스,sell,2787,7640.0,21292680.0,평단가 대비 -14.8% — 손절 기준(-12%) 도달로 매도
2026-08-29,032830,삼성생명,buy,5,310000.0,1550000.0,"이미 보유 중 — 예측 5일 수익률 +8.0%, 방향적중률 58%, RSI 51 — 추가 매수(피라미딩)"
2026-08-29,332570,PS일렉트로닉스,buy,2773,7220.0,20021060.0,"예측 5일 수익률 +5.3%, 방향적중률 53%, RSI 44 — 공격적 매수 조건 충족"
2026-09-03,011070,LG이노텍,sell,45,556000.0,25020000.0,예측 수익률이 -1.7%로 음전환 — 신호 소멸로 매도
2026-09-04,CRDO,Credo Technology Group Holding Ltd Ordinary Shares,buy,103,229720.52446533204,23661214.0199292,"예측 5일 수익률 +13.1%, 방향적중률 63%, RSI 34 — 공격적 매수 조건 충족"
2026-09-04,005935,삼성전자우,buy,7,191600.0,1341200.0,"예측 5일 수익률 +2.6%, 방향적중률 53%, RSI 52 — 공격적 매수 조건 충족"
2026-09-09,257720,실리콘투,sell,32,47150.0,1508800.0,예측 수익률이 -0.3%로 음전환 — 신호 소멸로 매도
2026-09-09,332570,PS일렉트로닉스,sell,2773,7670.0,21268910.0,예측 수익률이 -0.2%로 음전환 — 신호 소멸로 매도
2026-09-10,000500,가온전선,buy,97,234500.0,22746500.0,"예측 5일 수익률 +16.6%, 방향적중률 53%, RSI 66 — 공격적 매수 조건 충족"
