date,code,name,action,quantity,price,amount,reason
2026-08-14,332570,PS일렉트로닉스,buy,1344,11160.0,14999040.0,"예측 5일 수익률 +10.5%, 방향적중률 73%, RSI 67 — 매수 조건 충족"
2026-08-14,011070,LG이노텍,buy,24,615000.0,14760000.0,"예측 5일 수익률 +7.8%, 방향적중률 70%, RSI 49 — 매수 조건 충족"
2026-08-14,475150,SK이터닉스,buy,262,57100.0,14960200.0,"예측 5일 수익률 +7.4%, 방향적중률 55%, RSI 55 — 매수 조건 충족"
2026-08-14,006340,대원전선,buy,992,15110.0,14989120.0,"예측 5일 수익률 +3.4%, 방향적중률 68%, RSI 54 — 매수 조건 충족"
2026-08-23,332570,PS일렉트로닉스,sell,1344,8970.0,12055680.0,평단가 대비 -19.6% — 손절 기준(-8%) 도달로 매도
2026-08-23,011070,LG이노텍,sell,24,550000.0,13200000.0,평단가 대비 -10.6% — 손절 기준(-8%) 도달로 매도
2026-08-23,475150,SK이터닉스,sell,262,51300.0,13440600.0,평단가 대비 -10.2% — 손절 기준(-8%) 도달로 매도
2026-08-23,006340,대원전선,sell,992,13250.0,13144000.0,평단가 대비 -12.3% — 손절 기준(-8%) 도달로 매도
2026-08-23,032830,삼성생명,buy,42,328500.0,13797000.0,"예측 5일 수익률 +4.4%, 방향적중률 63%, RSI 55 — 매수 조건 충족"
2026-08-23,MU,Micron Technology Inc. Common Stock,buy,10,1337926.8656030274,13379268.656030277,"예측 5일 수익률 +3.3%, 방향적중률 55%, RSI 54 — 매수 조건 충족"
2026-08-23,012330,현대모비스,buy,17,496000.0,8432000.0,"예측 5일 수익률 +3.0%, 방향적중률 58%, RSI 48 — 매수 조건 충족"
2026-08-24,032830,삼성생명,sell,42,285500.0,11991000.0,평단가 대비 -13.1% — 손절 기준(-8%) 도달로 매도
2026-08-24,011070,LG이노텍,buy,23,570000.0,13110000.0,"예측 5일 수익률 +5.7%, 방향적중률 63%, RSI 44 — 매수 조건 충족"
2026-08-24,332570,PS일렉트로닉스,buy,1563,8670.0,13551210.0,"예측 5일 수익률 +5.0%, 방향적중률 57%, RSI 52 — 매수 조건 충족"
2026-08-24,475150,SK이터닉스,buy,254,53200.0,13512800.0,"예측 5일 수익률 +3.2%, 방향적중률 57%, RSI 50 — 매수 조건 충족"
2026-08-25,032830,삼성생명,buy,47,285000.0,13395000.0,"예측 5일 수익률 +7.2%, 방향적중률 57%, RSI 45 — 매수 조건 충족"
2026-08-26,332570,PS일렉트로닉스,sell,1563,7640.0,11941320.0,평단가 대비 -11.9% — 손절 기준(-8%) 도달로 매도
