date,cash,holdings_value,total_equity,kospi_close
2026-08-23,96843500.0,3156500.0,100000000.0,6912.95
2026-08-24,83384300.0,16639240.0,100023540.0,6696.96
2026-08-25,65483600.0,34337380.0,99820980.0,6742.74
2026-08-26,81272910.0,16911170.0,98184080.0,6808.21
2026-08-29,71992730.0,26424140.0,98416870.0,6788.88
2026-08-31,19927394.88486,78775475.11513999,98702870.0,6820.02
2026-09-01,39530894.88486,58608670.51566,98139565.40052,6835.8
2026-09-02,9382994.884860002,87826517.72501999,97209512.60988,6562.72
2026-09-03,36821294.88486,61974128.771510005,98795423.65637,6579.48
2026-09-04,17809294.88486,81049734.86969,98859029.75455,6687.21
2026-09-08,28715592.882177323,70306065.61912268,99021658.5013,6995.39
